cluster_id,representative_key,member_count,members_json,dedup_method,threshold,min_similarity,max_similarity,member_similarities_json,representative_reason
dedup-0001,bangdream_001_2019_furisode,2,"[""bangdream_001_2019_furisode"", ""bangdream_001_2024_furisode""]",embedding_cosine,0.992,0.994621,1.0,"{""bangdream_001_2019_furisode"": 1.0, ""bangdream_001_2024_furisode"": 0.994621}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0002,bangdream_001_casual,2,"[""bangdream_001_casual"", ""bangdream_001_event_147_story_01""]",embedding_cosine,0.992,0.999257,1.0,"{""bangdream_001_casual"": 1.0, ""bangdream_001_event_147_story_01"": 0.999257}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0003,bangdream_001_casual_winter,3,"[""bangdream_001_casual_winter"", ""bangdream_001_event_102_story_01"", ""bangdream_001_event_65_story_01""]",embedding_cosine,0.992,0.999105,1.0,"{""bangdream_001_casual_winter"": 1.0, ""bangdream_001_event_102_story_01"": 0.999379, ""bangdream_001_event_65_story_01"": 0.999105}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0004,bangdream_001_chapter0_pajamas,2,"[""bangdream_001_chapter0_pajamas"", ""bangdream_001_pajamas-2023""]",embedding_cosine,0.992,0.993594,1.0,"{""bangdream_001_chapter0_pajamas"": 1.0, ""bangdream_001_pajamas-2023"": 0.993594}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0005,bangdream_001_event_124_story_01,3,"[""bangdream_001_event_124_story_01"", ""bangdream_001_event_160_story_01"", ""bangdream_001_swimsuit-2023""]",embedding_cosine,0.992,0.993078,1.0,"{""bangdream_001_event_124_story_01"": 1.0, ""bangdream_001_event_160_story_01"": 0.999217, ""bangdream_001_swimsuit-2023"": 0.993078}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0006,bangdream_001_event_128_story_01,2,"[""bangdream_001_event_128_story_01"", ""bangdream_001_live_event_128_ssr""]",embedding_cosine,0.992,0.998517,1.0,"{""bangdream_001_event_128_story_01"": 1.0, ""bangdream_001_live_event_128_ssr"": 0.998517}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0007,bangdream_001_event_216_story_01,4,"[""bangdream_001_event_216_story_01"", ""bangdream_001_school_winter"", ""bangdream_001_school_winter-2023"", ""bangdream_001_school_winter_v3""]",embedding_cosine,0.992,0.996348,1.0,"{""bangdream_001_event_216_story_01"": 1.0, ""bangdream_001_school_winter"": 0.998655, ""bangdream_001_school_winter-2023"": 0.996348, ""bangdream_001_school_winter_v3"": 0.998603}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0008,bangdream_001_school_summer,2,"[""bangdream_001_school_summer"", ""bangdream_001_school_summer-2023""]",embedding_cosine,0.992,0.996868,1.0,"{""bangdream_001_school_summer"": 1.0, ""bangdream_001_school_summer-2023"": 0.996868}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0009,bangdream_002_casual_winter,3,"[""bangdream_002_casual_winter"", ""bangdream_002_event_102_story_01"", ""bangdream_002_event_99_story_01""]",embedding_cosine,0.992,0.999448,1.0,"{""bangdream_002_casual_winter"": 1.0, ""bangdream_002_event_102_story_01"": 0.999455, ""bangdream_002_event_99_story_01"": 0.999448}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0010,bangdream_002_event_140_story_01,5,"[""bangdream_002_event_140_story_01"", ""bangdream_002_event_216_story_01"", ""bangdream_002_event_99_story_02"", ""bangdream_002_school_winter"", ""bangdream_002_school_winter-2023""]",embedding_cosine,0.992,0.995129,1.0,"{""bangdream_002_event_140_story_01"": 1.0, ""bangdream_002_event_216_story_01"": 0.999571, ""bangdream_002_event_99_story_02"": 0.99925, ""bangdream_002_school_winter"": 0.999783, ""bangdream_002_school_winter-2023"": 0.995129}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0011,bangdream_002_event_160_story_01,3,"[""bangdream_002_event_160_story_01"", ""bangdream_002_event_50_story_01"", ""bangdream_002_swimsuit-2023""]",embedding_cosine,0.992,0.995175,1.0,"{""bangdream_002_event_160_story_01"": 1.0, ""bangdream_002_event_50_story_01"": 0.99999, ""bangdream_002_swimsuit-2023"": 0.995175}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0012,bangdream_002_school_summer,2,"[""bangdream_002_school_summer"", ""bangdream_002_school_summer-2023""]",embedding_cosine,0.992,0.996088,1.0,"{""bangdream_002_school_summer"": 1.0, ""bangdream_002_school_summer-2023"": 0.996088}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0013,bangdream_003_2019_furisode,2,"[""bangdream_003_2019_furisode"", ""bangdream_003_2024_furisode""]",embedding_cosine,0.992,0.992478,1.0,"{""bangdream_003_2019_furisode"": 1.0, ""bangdream_003_2024_furisode"": 0.992478}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0014,bangdream_003_chapter0_pajamas,2,"[""bangdream_003_chapter0_pajamas"", ""bangdream_003_event_233_story_01""]",embedding_cosine,0.992,0.994564,1.0,"{""bangdream_003_chapter0_pajamas"": 1.0, ""bangdream_003_event_233_story_01"": 0.994564}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0015,bangdream_003_event_140_story_01,4,"[""bangdream_003_event_140_story_01"", ""bangdream_003_event_216_story_01"", ""bangdream_003_school_winter"", ""bangdream_003_school_winter-2023""]",embedding_cosine,0.992,0.992347,1.0,"{""bangdream_003_event_140_story_01"": 1.0, ""bangdream_003_event_216_story_01"": 0.998913, ""bangdream_003_school_winter"": 0.999742, ""bangdream_003_school_winter-2023"": 0.992347}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0016,bangdream_003_event_227_story_02,2,"[""bangdream_003_event_227_story_02"", ""bangdream_003_live_event_227_ssr""]",embedding_cosine,0.992,0.99967,1.0,"{""bangdream_003_event_227_story_02"": 1.0, ""bangdream_003_live_event_227_ssr"": 0.99967}","prefer usable pool candidate, then current_pool, then lexical key"
