resource_key,pipeline_status,recommended_pool,review_reason_codes,render_status,render_image_path,tagger_status,tagger_policy_tag_scores_json,review_queue_kind
bangdream_001_2018_dog,classified,soft_review,"[""qualification_review"", ""variant_keyword:dog""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_2018_dog.png,completed,"{""1girl"": 0.998254, ""2girls"": 0.000173, ""animal"": 0.000122, ""animal_focus"": 1e-06, ""bare_shoulders"": 0.003983, ""bikini"": 0.000205, ""bird"": 3.4e-05, ""cleavage"": 0.006286, ""corset"": 1e-05, ""crop_top"": 0.365477, ""dog"": 0.001859, ""faceless"": 1e-05, ""food_focus"": 0.0, ""garter_straps"": 0.000103, ""helmet"": 1.1e-05, ""lingerie"": 2e-06, ""looking_at_viewer"": 0.888105, ""mask"": 0.000112, ""midriff"": 0.761012, ""multiple_girls"": 0.000232, ""navel"": 0.909714, ""no_humans"": 6e-06, ""onsen"": 0.0, ""panties"": 0.000174, ""penguin"": 0.0, ""school_swimsuit"": 1.3e-05, ""solo"": 0.978552, ""swimsuit"": 0.000283, ""thighhighs"": 0.003035, ""underwear"": 0.000334}",visual_review
bangdream_001_2021af,classified,soft_review,"[""helmet"", ""qualification_review""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_2021af.png,completed,"{""1girl"": 0.996674, ""2girls"": 0.000275, ""animal"": 0.000125, ""animal_focus"": 2e-06, ""bare_shoulders"": 0.000819, ""bikini"": 3.1e-05, ""bird"": 4.6e-05, ""cleavage"": 0.000534, ""corset"": 4.6e-05, ""crop_top"": 2.4e-05, ""dog"": 1.8e-05, ""faceless"": 4e-06, ""food_focus"": 0.0, ""garter_straps"": 9e-06, ""helmet"": 0.985223, ""lingerie"": 1e-06, ""looking_at_viewer"": 0.69501, ""mask"": 0.000292, ""midriff"": 0.000134, ""multiple_girls"": 0.000614, ""navel"": 0.000454, ""no_humans"": 1.2e-05, ""onsen"": 1e-06, ""panties"": 8.5e-05, ""penguin"": 2e-06, ""school_swimsuit"": 1e-06, ""solo"": 0.823588, ""swimsuit"": 8.1e-05, ""thighhighs"": 0.000721, ""underwear"": 0.000134}",visual_review
bangdream_001_birthday_2021,classified,soft_review,"[""garter_straps"", ""soft_review_tag""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_birthday_2021.png,completed,"{""1girl"": 0.99747, ""2girls"": 0.000251, ""animal"": 2.2e-05, ""animal_focus"": 0.0, ""bare_shoulders"": 0.868895, ""bikini"": 5.2e-05, ""bird"": 2.1e-05, ""cleavage"": 0.005183, ""corset"": 0.002676, ""crop_top"": 5.6e-05, ""dog"": 1.5e-05, ""faceless"": 1.2e-05, ""food_focus"": 0.0, ""garter_straps"": 0.893932, ""helmet"": 6e-06, ""lingerie"": 1.3e-05, ""looking_at_viewer"": 0.863183, ""mask"": 1.6e-05, ""midriff"": 0.000133, ""multiple_girls"": 0.000273, ""navel"": 0.001455, ""no_humans"": 1.4e-05, ""onsen"": 0.0, ""panties"": 0.000118, ""penguin"": 1e-06, ""school_swimsuit"": 1.1e-05, ""solo"": 0.944426, ""swimsuit"": 0.000138, ""thighhighs"": 0.919719, ""underwear"": 0.000207}",visual_review
bangdream_001_chapter0_live,classified,soft_review,"[""navel"", ""soft_review_tag""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_chapter0_live.png,completed,"{""1girl"": 0.998673, ""2girls"": 0.000241, ""animal"": 5e-05, ""animal_focus"": 0.0, ""bare_shoulders"": 0.078177, ""bikini"": 0.00021, ""bird"": 3.8e-05, ""cleavage"": 0.003171, ""corset"": 8e-06, ""crop_top"": 0.018691, ""dog"": 2.1e-05, ""faceless"": 1.7e-05, ""food_focus"": 0.0, ""garter_straps"": 7.9e-05, ""helmet"": 1.3e-05, ""lingerie"": 6e-06, ""looking_at_viewer"": 0.927473, ""mask"": 6.8e-05, ""midriff"": 0.170372, ""multiple_girls"": 0.00023, ""navel"": 0.542619, ""no_humans"": 5e-06, ""onsen"": 0.0, ""panties"": 0.000765, ""penguin"": 0.0, ""school_swimsuit"": 3e-06, ""solo"": 0.980341, ""swimsuit"": 0.000421, ""thighhighs"": 0.00162, ""underwear"": 0.002655}",visual_review
bangdream_001_delta,classified,soft_review,"[""midriff"", ""navel"", ""soft_review_tag""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_delta.png,completed,"{""1girl"": 0.997645, ""2girls"": 0.000239, ""animal"": 1e-05, ""animal_focus"": 1e-06, ""bare_shoulders"": 0.221657, ""bikini"": 5.3e-05, ""bird"": 1.5e-05, ""cleavage"": 0.001152, ""corset"": 0.002449, ""crop_top"": 0.446892, ""dog"": 1.1e-05, ""faceless"": 6e-06, ""food_focus"": 0.0, ""garter_straps"": 0.000269, ""helmet"": 6e-05, ""lingerie"": 3e-06, ""looking_at_viewer"": 0.914827, ""mask"": 5.5e-05, ""midriff"": 0.773668, ""multiple_girls"": 0.000233, ""navel"": 0.966053, ""no_humans"": 1.7e-05, ""onsen"": 0.0, ""panties"": 0.000324, ""penguin"": 0.0, ""school_swimsuit"": 1e-05, ""solo"": 0.980063, ""swimsuit"": 0.000178, ""thighhighs"": 0.972019, ""underwear"": 0.000465}",visual_review
bangdream_001_dream_festival,classified,soft_review,"[""navel"", ""soft_review_tag""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_dream_festival.png,completed,"{""1girl"": 0.998343, ""2girls"": 0.000139, ""animal"": 1.6e-05, ""animal_focus"": 0.0, ""bare_shoulders"": 0.523919, ""bikini"": 0.000344, ""bird"": 9e-06, ""cleavage"": 0.016018, ""corset"": 2.7e-05, ""crop_top"": 0.00436, ""dog"": 6e-06, ""faceless"": 7e-06, ""food_focus"": 0.0, ""garter_straps"": 0.015666, ""helmet"": 9.6e-05, ""lingerie"": 1e-05, ""looking_at_viewer"": 0.925867, ""mask"": 0.000255, ""midriff"": 0.286916, ""multiple_girls"": 0.000293, ""navel"": 0.736245, ""no_humans"": 5e-06, ""onsen"": 0.0, ""panties"": 0.001844, ""penguin"": 0.0, ""school_swimsuit"": 8e-06, ""solo"": 0.984598, ""swimsuit"": 0.000918, ""thighhighs"": 0.962678, ""underwear"": 0.003554}",visual_review
bangdream_001_dream_festival_2,classified,soft_review,"[""garter_straps"", ""soft_review_tag""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_dream_festival_2.png,completed,"{""1girl"": 0.997752, ""2girls"": 0.000278, ""animal"": 3.2e-05, ""animal_focus"": 1e-06, ""bare_shoulders"": 0.133756, ""bikini"": 4.5e-05, ""bird"": 3e-05, ""cleavage"": 0.003875, ""corset"": 0.439712, ""crop_top"": 0.000541, ""dog"": 2.4e-05, ""faceless"": 6e-06, ""food_focus"": 1e-06, ""garter_straps"": 0.612106, ""helmet"": 5.5e-05, ""lingerie"": 1.3e-05, ""looking_at_viewer"": 0.863947, ""mask"": 7e-05, ""midriff"": 0.000573, ""multiple_girls"": 0.000285, ""navel"": 0.000878, ""no_humans"": 9e-06, ""onsen"": 0.0, ""panties"": 0.000229, ""penguin"": 1e-06, ""school_swimsuit"": 7e-06, ""solo"": 0.907895, ""swimsuit"": 0.000121, ""thighhighs"": 0.514777, ""underwear"": 0.000821}",visual_review
bangdream_001_live_default,classified,soft_review,"[""navel"", ""soft_review_tag""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_live_default.png,completed,"{""1girl"": 0.998282, ""2girls"": 0.000111, ""animal"": 2.1e-05, ""animal_focus"": 0.0, ""bare_shoulders"": 0.466448, ""bikini"": 0.000224, ""bird"": 4.1e-05, ""cleavage"": 0.001008, ""corset"": 5.3e-05, ""crop_top"": 0.000698, ""dog"": 9e-06, ""faceless"": 1.2e-05, ""food_focus"": 0.0, ""garter_straps"": 0.000272, ""helmet"": 2.6e-05, ""lingerie"": 8e-06, ""looking_at_viewer"": 0.911339, ""mask"": 0.000111, ""midriff"": 0.034418, ""multiple_girls"": 0.000185, ""navel"": 0.944821, ""no_humans"": 1e-05, ""onsen"": 0.0, ""panties"": 0.001066, ""penguin"": 0.0, ""school_swimsuit"": 2.2e-05, ""solo"": 0.974404, ""swimsuit"": 0.000462, ""thighhighs"": 0.002505, ""underwear"": 0.001758}",visual_review
bangdream_001_live_event_04_r,classified,soft_review,"[""navel"", ""soft_review_tag""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_live_event_04_r.png,completed,"{""1girl"": 0.997025, ""2girls"": 0.000229, ""animal"": 2.2e-05, ""animal_focus"": 0.0, ""bare_shoulders"": 0.441594, ""bikini"": 0.000486, ""bird"": 2.7e-05, ""cleavage"": 0.004898, ""corset"": 1.7e-05, ""crop_top"": 0.046559, ""dog"": 2.4e-05, ""faceless"": 4e-06, ""food_focus"": 1e-06, ""garter_straps"": 7e-05, ""helmet"": 1.1e-05, ""lingerie"": 2.7e-05, ""looking_at_viewer"": 0.869968, ""mask"": 0.000372, ""midriff"": 0.485328, ""multiple_girls"": 0.000332, ""navel"": 0.861181, ""no_humans"": 1.7e-05, ""onsen"": 0.0, ""panties"": 0.00107, ""penguin"": 0.0, ""school_swimsuit"": 5e-06, ""solo"": 0.946689, ""swimsuit"": 0.000728, ""thighhighs"": 0.001567, ""underwear"": 0.00896}",visual_review
bangdream_001_live_event_124_sr,classified,soft_review,"[""cleavage"", ""midriff"", ""navel"", ""soft_review_tag""]",rendered,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_live_event_124_sr.png,completed,"{""1girl"": 0.998246, ""2girls"": 0.000253, ""animal"": 5.1e-05, ""animal_focus"": 0.0, ""bare_shoulders"": 0.620354, ""bikini"": 0.010628, ""bird"": 1.7e-05, ""cleavage"": 0.532621, ""corset"": 0.001103, ""crop_top"": 0.049804, ""dog"": 1.2e-05, ""faceless"": 5e-06, ""food_focus"": 0.0, ""garter_straps"": 0.004831, ""helmet"": 6e-06, ""lingerie"": 3.9e-05, ""looking_at_viewer"": 0.878039, ""mask"": 7e-05, ""midriff"": 0.539961, ""multiple_girls"": 0.00026, ""navel"": 0.921067, ""no_humans"": 6e-06, ""onsen"": 0.0, ""panties"": 0.001033, ""penguin"": 1e-06, ""school_swimsuit"": 1.6e-05, ""solo"": 0.969521, ""swimsuit"": 0.021066, ""thighhighs"": 0.002441, ""underwear"": 0.001794}",visual_review
